Course Code,Course Title,Duration (min),Instructors,Days,Start Time,End Time,Enrollment,Class Venues
BIO 524-LEC 1,Evolution,75,Zaigham Shahzad,TR,10:00 AM,11:15 AM,40,Acad Block A-10
BIO 531-LEC 1,Computational Biology,75,Safee Ullah Chaudhary,TR,11:30 AM,12:45 PM,30,SBASSE 10-304
CHE 210-LEC 1,Physical Chemistry,75,Falak Sher,MW,10:30 AM,11:45 AM,40,Acad Block A-5
CHE 260-LEC 1,Principles of Chemical Engineering,75,Qandeel Almas,MW,12:00 PM,1:15 PM,40,SBASSE 10-202
CHE 262-LEC 1,Particle Science and Engineering,75,Muhammad Faheem,MW,3:00 PM,4:15 PM,40,SBASSE 10-304
CHE 302-LEC 1,Air Pollution,75,Shahana Khurshid,TR,12:00 PM,1:15 PM,30,SBASSE 10-202
CHE 320-LEC 1,Separation Processes,75,Tauqeer Abbas,TR,9:00 AM,10:15 AM,40,SAHSOL SBACR 0-01
CHE 330-LEC 1,Math Methods in Chemical Engineering II,75,Usman Bin Shahid,MW,9:00 AM,10:15 AM,40,Acad Block A-5
CHE 352-LEC 1,Heat and Mass Transfer,75,Ali Rauf,TR,3:00 PM,4:15 PM,40,SBASSE 10-202
CHE 401-LEC 1,Chemical Process Design,75,Qandeel Almas,MW,2:00 PM,3:15 PM,40,SAHSOL MMACR 1-02
CHE 415-LEC 1,Economics,75,Tauqeer Abbas,TR,2:00 PM,3:15 PM,30,SBASSE 10-302
CHE 710-LEC 1,Transport Processes in the Environment,75,Shahana Khurshid,MW,11:00 AM,12:15 PM,20,SBASSE 10-304
CHEM 101-LEC 1,Principles of Chemistry,75,Habib-ur- Rehman,MW,3:30 PM,4:45 PM,235,SBASSE 9-B2
CHEM 231-LEC 1,Fundamentals of Organic Chemistry,75,Irshad Hussain,MW,3:00 PM,4:15 PM,50,SBASSE 10-201
CHEM 314-LEC 1,Quantum Chemistry,75,Habib-ur- Rehman,MW,10:00 AM,11:15 AM,25,Acad Block A-6
CHEM 324-LEC 1,Inorganic Chemistry I,75,Muhammad Zaheer,TR,2:00 PM,3:15 PM,20,SAHSOL CR 2-01
CHEM 332-LEC 1,Groups,75,Muhammad Saeed,TR,10:30 AM,11:45 AM,25,SBASSE 10-202
CHEM 342-LEC 1,Analytical Chemistry I,75,Muhammad Zaheer,MW,8:00 AM,9:15 AM,40,SBASSE 10-204
CHEM 516-LEC 1,Materials,75,Salman Noshear Arshad,TR,11:00 AM,12:15 PM,60,SBASSE 9-B2
CHEM 521-LEC 1,Advanced Inorganic Chemistry I,75,Chotana,TR,9:00 AM,10:15 AM,50,SBASSE 10-202
CHEM 531-LEC 1,Advanced Organic Chemistry I,75,Irshad Hussain,MW,1:00 PM,2:15 PM,50,Acad Block SS
CHEM 532-LEC 1,Chemistry of Biomolecule,75,Muhammad Saeed,MW,10:00 AM,11:15 AM,45,SBASSE 10-202
CHEM 721-LEC 1,Selected Topics in Inorganic Chemistry,75,Chotana,MW,9:00 AM,10:15 AM,20,Acad Block A-8
CHEM 731-LEC 1,Selected Topics in Organic Chemistry,75,Irshad Hussain,MW,1:00 PM,2:15 PM,50,Acad Block SS
CLCA 1000-LEC 1,Engaging with Texts and Contexts,110,Maryam Wasif Khan,TR,10:00 AM,11:50 AM,67,Acad Block A-16
CLCA 1000-LEC 1,Engaging with Texts and Contexts,110,Fatima Fayyaz,TR,10:00 AM,11:50 AM,67,Acad Block A-16
CLCA 2119-LEC 1,Mechanics of Fiction,110,Bilal Tanweer,MW,12:00 PM,1:50 PM,45,Acad Block A-7
