Course Code,Section,Duration,Instructors,Class Venues,Days
CLCA 3325, LEC 1, 2, Usama Mumtaz Lali, Acad Block A-3, MW
EE 5502, LEC 1, 1.5, Nauman Ahmad Zaffar, SBASSE 10-302, MW
EE 5502, LEC 1, 1.5, Naveed Arshad, SBASSE 10-302, MW
MGMT 252, LEC 1, 1.5, Ahsen, Acad Block A-7, MW
CS 535, LEC 2, 1.5, Agha Ali Raza, SBASSE 10-201, MW
CS 535, LEC 1, 1.5, Agha Ali Raza, SBASSE 10-201, MW
MGMT 283, LEC 1, 1.5, Shireen Waheed, SDSB B-2, MW
CHE 330, LEC 1, 1.5, Usman Bin Shahid, Acad Block A-5, MW
ECON 262, LEC 1, 2, Mushtaq Ahmad Khan, Acad Block A-12, MW
PHY 101, LEC 1, 1.5, Adam Zaman Chaudhry, SBASSE 9-B2, MW
CLCA 2119, LEC 1, 2, Bilal Tanweer, Acad Block A-7, MW
ENV 210, LEC 1, 2, Fazilda Nabeel, SAHSOL CR 1-07, MW
ECON 511, LEC 1, 2, Osama Khan, Acad Block A-2, MW
BIO 216, LEC 1, 1.5, Muhammad Shoaib, SBASSE 10-204, MW
BIO 216, LEC 1, 1.5, Muhammad Tariq, SBASSE 10-204, MW
ENGL 2402, LEC 1, 2, Tom Edward Sewel, Acad Block A-9, MW
MATH 4418, LEC 1, 1.5, Reza Abdolmaleki, SBASSE 10-304, MW
CS 370, LEC 1, 1.5, Alizai, SBASSE 9-B2, MW
CS 370, LEC 1, 1.5, Naveed Anwar Bhatti, SBASSE 9-B2, MW
CS 370, LEC 1, 1.5, Momina Khan, SBASSE 9-B2, MW
DISC 231, LEC 1, 1.5, Hassan Rauf Chaudhry, SDSB 101, MW
MATH 341, LEC 1, 1.5, Kamran Rashid, SDSB 201, MW
ORSC 201, LEC 2, 1.5, Faiza Ali, SDSB B-1, MW
ORSC 201, LEC 1, 1.5, Faiza Ali, SDSB 105, MW
LAW 4304, LEC 1, 2, Marva Khan, SAHSOL CR 1-06, MW
CHE 262, LEC 1, 1.5, Muhammad Faheem, SBASSE 10-304, MW
ECON 449, LEC 1, 2, Khalid Mir, SAHSOL ARDCR 0-07, MW
CHE 210, LEC 1, 1.5, Falak Sher, Acad Block A-5, MW
POL 4112, LEC 1, 2, Mohammad Waseem, Acad Block A-10, MW
POL 3202, LEC 1, 2, Salman Rafi, Acad Block A-5, MW
POL 224, LEC 1, 2, Vito Morisco, Acad Block A-15, MW
FINN 454, LEC 1, 1.5, Syed Kumail Abbas Rizvi, SDSB TRDLB, MW
EE 452, LEC 1, 1.5, Hafsa Qamar, SBASSE 10-202, MW
EE 453, LEC 1, 1.5, Raheel Zafar, SBASSE 10-202, MW
CHE 260, LEC 1, 1.5, Qandeel Almas, SBASSE 10-202, MW
CHEM 101, LEC 1, 1.5, Habib-ur- Rehman, SBASSE 9-B2, MW
ECON 100, LEC 1, 2, Nadia Mukhtar Sayed, SDSB B-2, MW
FINN 100, LEC 1, 1.5, Salman Khan, SDSB 203, MW
ACCT 100, LEC 7, 1.5, Saira Rizwan, Acad Block A-1, MW
ACCT 100, LEC 6, 1.5, Saira Rizwan, Acad Block A-1, MW
ECON 121, LEC 1, 1.5, Kashif Zaheer Malik, Acad Block A-3, MW
ECON 121, LEC 1, 1.5, Fahd Ali, Acad Block A-3, MW
ECON 121, LEC 2, 1.5, Kashif Zaheer Malik, Acad Block A-8, MW
ECON 121, LEC 2, 1.5, Fahd Ali, Acad Block A-8, MW
MGMT 142, LEC 6, 1.5, Nawaz Butt, Acad Block A-14, MW
MGMT 142, LEC 5, 1.5, Mohsin Bashir, SDSB 105, MW
MKTG 201, LEC 4, 1.5, Aleena Iqtidar, SDSB 201, MW
MECO 111, LEC 2, 1.5, Sameen Zafar, SDSB 105, MW
MECO 111, LEC 6, 1.5, Abid Raza Khan, Acad Block A-7, MW
MECO 111, LEC 1, 1.5, Sameen Zafar, SDSB 105, MW
MATH 230, LEC 1, 1.5, Reza Abdolmaleki, SBASSE 9-B2, MW
SS 3302, LEC 1, 2, Aamna Khalid, Acad Block A-3, MW
DISC 331, LEC 1, 1.5, Zehra Waheed, SDSB 101, MW
PSY 220, LEC 1, 2, Tahira Haider, Acad Block MCB Acad Block A-13, MW
LAW 352, LEC 2, 2, Madiha Talat, SAHSOL GHKCR 0-02, MW
LAW 352, LEC 1, 2, Sikandar Ahmed Shah, SAHSOL MMACR 1-02, MW
HIST 314, LEC 1, 2, Khan, Acad Block A-1, MW
CHEM 314, LEC 1, 1.5, Habib-ur- Rehman, Acad Block A-6, MW
PHY 212, LEC 1, 1.5, Syed Moeez Hassan, Acad Block A-3, MW
DISC 322, LEC 2, 1.5, Kamran Rashid, SDSB 201, MW
