Course Code,Section,Duration,Instructors,Class Venues,Days
ECON 233, LEC 2, 2, Lyyla Khalid, Acad Block A-5, TR
SS 1303, LEC 1, 2, Sadaf Habib, Acad Block A-10, TR
ENGL 1000, LEC 1, 2, Tom Edward Sewel, SAHSOL SBACR 0-01, TR
PHIL 132, LEC 1, 2, Ahsen, Acad Block A-16, TR
DISC 212, LEC 5, 1.5, Abid Raza Khan, SDSB TRDLB, TR
DISC 212, LEC 4, 1.5, Maheen Aamir Syed, SDSB TRDLB, TR
DISC 212, LEC 3, 1.5, Abid Raza Khan, SDSB TRDLB, TR
LANG 127, LEC 2, 2, Samina Arifa, SAHSOL GHKCR 0-02, TR
LANG 127, LEC 1, 2, Samina Arifa, SAHSOL MMACR 1-02, TR
PHIL 203, LEC 1, 2, Syed Sikander Gilani, Acad Block A-1, TR
MGMT 261, LEC 1, 1.5, Ghazal Mir Zulfiqar, Acad Block A-3, TR
POL 100, LEC 2, 2, Rida Ashfaq, Acad Block SS, TR
POL 100, LEC 1, 2, Rida Ashfaq, Acad Block MCB Acad Block A-13, TR
CS 200, LEC 2, 1.5, Muhammad Saqib Ilyas, SDSB B-3, TR
FINN 441, LEC 1, 1.5, Saad Azmat, SDSB 204, TR
EDU 218, LEC 1, 1.5, Farah Syed, Lib Bldg SOE 03, TR
EDU 321, LEC 1, 1.5, Fizza Suhail, Lib Bldg SOE 03, TR
PSY 321, LEC 1, 2, Natasha Sohail Barlas, Acad Block A-1, TR
MATH 222, LEC 1, 1.5, Haniya Azam, Acad Block A-14, TR
DISC 335, LEC 1, 1.5, Zaid Saeed Khan, Acad Block A-4, TR
MKTG 302, LEC 1, 1.5, Komal Zain, Acad Block A-4, TR
MKTG 343, LEC 1, 1.5, Muhammad Asim, SDSB TRDLB, TR
LAW 426, LEC 1, 2, Aisha Ahmad, SAHSOL CR 1-06, TR
CHEM 516, LEC 1, 1.5, Salman Noshear Arshad, SBASSE 9-B2, TR
PHY 101, LEC 2, 1.5, Adam Zaman Chaudhry, SDSB B-3, TR
GSS 264, LEC 1, 2, Maria Amir, Acad Block A-5, TR
SS 233, LEC 1, 2, Syed Javed Nazir, Acad Block A-1, TR
ECON 531, LEC 1, 2, Mushtaq Ahmad Khan, Acad Block A-2, TR
SOC 253, LEC 1, 2, Basit Bilal Koshul, SAHSOL CR 1-01, TR
ANTH 312, LEC 1, 2, Lukas Albert Paul Werth, SDSB 305, TR
ORSC 201, LEC 4, 1.5, Ghulam Ali Arain, SDSB 101, TR
ORSC 201, LEC 3, 1.5, Ghulam Ali Arain, SDSB 203, TR
MGMT 263, LEC 1, 1.5, Rana, SDSB 203, TR
ECON 261, LEC 1, 2, Sheraz Latif Malik, SAHSOL SBACR 0-01, TR
ACCT 100, LEC 4, 1.5, Zainab Mehmood, SDSB 101, TR
ACCT 100, LEC 3, 1.5, Syed Zain ul Abidin, Acad Block A-7, TR
ACCT 100, LEC 2, 1.5, Syed Zain ul Abidin, Acad Block A-7, TR
ACCT 100, LEC 1, 1.5, Syed Zain ul Abidin, Acad Block A-7, TR
ECON 121, LEC 3, 1.5, Sheraz Latif Malik, SAHSOL SBACR 0-01, TR
MGMT 142, LEC 1, 1.5, Mujeeb Rashid, Acad Block A-4, TR
MGMT 142, LEC 7, 1.5, Nawaz Butt, Acad Block A-14, TR
MGMT 142, LEC 3, 1.5, Qureshi, Acad Block A-15, TR
MGMT 142, LEC 2, 1.5, Qureshi, Acad Block A-15, TR
MGMT 142, LEC 4, 1.5, Afaf Khalid, Acad Block A-7, TR
ACCT 130, LEC 3, 1.5, Ayesha Bhatti, SDSB B-1, TR
ACCT 130, LEC 7, 1.5, Mahin Moazzam, SDSB 203, TR
ACCT 130, LEC 4, 1.5, Ayesha Bhatti, SDSB B-1, TR
ACCT 130, LEC 2, 1.5, Ayesha Bhatti, SDSB B-1, TR
ACCT 130, LEC 6, 1.5, Mahin Moazzam, SDSB 101, TR
ACCT 130, LEC 1, 1.5, Ayesha Bhatti, SDSB B-1, TR
ACCT 130, LEC 5, 1.5, Mahin Moazzam, SDSB 101, TR
MKTG 201, LEC 1, 1.5, Muhammad Asim, SDSB 105, TR
MKTG 201, LEC 3, 1.5, Mahira Ilyas, SDSB 201, TR
MKTG 201, LEC 2, 1.5, Mahira Ilyas, SDSB 201, TR
MECO 111, LEC 5, 1.5, Rabia Khan, SDSB 101, TR
ECON 111, LEC 3, 1.5, Faisal Bari, Acad Block A-3, TR
